16 4330 15933
1 221 -0.0253375 -0.187436
0 222 -0.100539 -0.181907
1 222 -0.0529849 -0.201809
0 223 -0.10275 -0.183013
1 223 -0.0551967 -0.201809
0 224 -0.0662557 -0.196281
1 224 -0.0209139 -0.216182
0 225 -0.23767 0.045855
1 225 -0.143668 0.0160026
0 226 -0.062938 -0.200703
1 226 -0.0153844 -0.220605
0 227 -0.242093 0.0336929
1 227 -0.149198 0.00494622
0 228 -0.0817383 -0.225027
1 228 -0.0352906 -0.243823
0 229 -0.0463496 -0.226133
1 229 -0.00211367 -0.244929
0 230 -0.0828442 -0.22945
1 230 -0.0363965 -0.24714
0 231 -0.0507731 -0.231661
1 231 -0.00543136 -0.250457
0 232 0.0089453 0.0281647
1 232 0.0775109 -0.00942713
0 233 -0.0795265 -0.232767
1 233 -0.0330788 -0.250457
0 234 0.0376986 0.0226365
1 234 0.0940994 -0.0138497
0 235 -0.0618321 -0.365444
1 235 -0.0209139 -0.377606
0 236 -0.030867 -0.244929
1 236 0.0133689 -0.263725
0 237 -0.0861618 -0.248246
1 237 -0.0386083 -0.26483
0 238 -0.215552 -0.00168763
1 238 -0.129292 -0.0293287
0 239 -0.0397142 -0.253774
1 239 0.00562761 -0.271464
0 240 -0.0474555 -0.258197
1 240 -0.00321957 -0.274781
0 241 -0.169104 -0.0116384
1 241 -0.0883736 -0.0392795
0 242 -0.0695734 -0.320113
1 242 -0.0264434 -0.334486
0 243 -0.0175962 -0.275887
1 243 0.0222161 -0.293577
0 244 -0.106068 -0.294683
1 244 -0.0607262 -0.309056
0 245 -0.227717 0.0204252
1 245 -0.137033 -0.00832148
0 246 -0.182375 0.22718
1 246 -0.0972208 0.181849
0 247 -0.00985495 0.233814
1 247 0.0587107 0.181849
0 248 0.1693 0.624106
1 248 0.233442 0.520176
0 249 -0.00543136 0.619683
1 249 0.0719814 0.529021
0 250 -0.0319729 0.610838
1 250 0.0454399 0.522387
0 251 0.120641 0.601993
1 251 0.189207 0.504697
0 252 -0.118233 0.586514
1 252 -0.0363965 0.506908
0 253 -0.109386 0.582092
1 253 -0.0275493 0.502485
0 254 -0.113809 0.57988
1 254 -0.0341847 0.502485
0 255 -0.0585144 -0.404141
1 255 -0.0187021 -0.412987
0 256 -0.0585144 -0.390874
1 256 -0.0142785 -0.399719
0 257 -0.0695734 -0.379817
1 257 -0.0275493 -0.390874
0 258 -0.222187 0.540077
1 258 -0.140351 0.473739
0 259 -0.0120667 -0.353282
1 259 0.0277455 -0.36655
0 260 -0.085056 -0.346648
1 260 -0.0430319 -0.359916
0 261 0.00341581 -0.346648
1 261 0.0410163 -0.359916
0 262 -0.0916913 -0.340014
1 262 -0.0474555 -0.351071
0 263 -0.0452437 -0.322324
1 263 0.00120402 -0.335592
0 264 -0.00764316 -0.320113
1 264 0.0299573 -0.33338
0 265 -0.00100778 -0.317901
1 265 0.0410163 -0.33338
0 266 -0.073997 -0.313479
1 266 -0.0363965 -0.326746
0 267 -0.0585144 -0.309056
1 267 -0.0142785 -0.322324
0 268 -0.0651498 0.526809
1 268 0.0100512 0.451626
0 269 -0.113809 0.522387
1 269 -0.0363965 0.449414
0 270 -0.0695734 -0.302422
1 270 -0.0253375 -0.31569
0 271 -0.0607262 -0.302422
1 271 -0.0164903 -0.317901
0 272 -0.0916913 -0.300211
1 272 -0.0474555 -0.313479
0 273 -0.10275 -0.293577
1 273 -0.0585144 -0.309056
